cell_idx,type,n_pre_cell,pr1,pr2,pr3,n_fol_cell,fo1,fo2,fo3,jam_den,capacity,turn_l,turn_th,turn_r,phase,demand,intersection,approach,num_lane,seg_idx,ncell2int,detect_cell,cell2lane,direction,detect_cell_0,detect_cell_1,detect_cell_2,detect_cell_3,detect_cell_4
12,0,1,11,0,0,1,13,0,0,8.0,6.0,0,0,0,0,0.0,3,1,3,1,2,12,"-222786843_0,-222786843_1,-222786843_2",nan,12,,,,
13,1,1,12,0,0,3,14,15,16,8.0,6.0,0.0,0.824,0.176,0,0.0,3,1,3,0,1,13,"-222786843_0,-222786843_1,-222786843_2",nan,,,,,
14,2,1,13,0,0,1,98,0,0,2.7,2.0,0,0,0,1,0.0,3,1,1,0,1,14,-142178743_0,r,,,,,
15,2,1,13,0,0,1,46,0,0,5.3,4.0,0,0,0,1,0.0,3,1,2,0,1,15,"-412646493_0,-412646493_1",th,,,,,
16,2,1,13,0,0,1,72,0,0,2.7,2.0,0,0,0,2,0.0,3,1,1,0,1,16,478958406_0,l,,,,,
17,3,3,44,69,97,1,18,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"222786843_0,222786843_1",nan,,,,,
18,0,1,17,0,0,1,19,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"222786843_0,222786843_1",nan,,,,,
19,0,1,18,0,0,1,20,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"222786843_0,222786843_1",nan,,,,,
20,0,1,19,0,0,1,21,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"222786843_0,222786843_1",nan,,,,,
21,0,1,20,0,0,1,22,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
22,0,1,21,0,0,1,23,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
23,0,1,22,0,0,1,24,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
24,0,1,23,0,0,1,25,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
25,0,1,24,0,0,1,26,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
26,0,1,25,0,0,1,27,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
27,0,1,26,0,0,1,28,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
28,0,1,27,0,0,1,29,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190750_0,441190750_1",nan,,,,,
29,4,1,28,0,0,0,0,0,0,99999.0,4.0,0,0,0,0,0.0,3,0,2,0,0,,nan,nan,,,,,
30,5,0,0,0,0,1,31,0,0,99999.0,99999.0,0,0,0,0,0.2638888,3,2,2,0,0,,nan,nan,,,,,
31,0,1,30,0,0,1,32,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,3,12,31,"897491918_0,897491918_1",nan,31,,,,
32,0,1,31,0,0,1,33,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,3,11,32,"897491918_0,897491918_1",nan,32,,,,
33,0,1,32,0,0,1,34,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,3,10,33,"897491920_0,897491920_1",nan,33,,,,
34,0,1,33,0,0,1,35,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,3,9,34,"897491920_0,897491920_1",nan,34,,,,
35,0,1,34,0,0,1,36,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,2,8,35,"897491920_0,897491920_1",nan,35,,,,
36,0,1,35,0,0,1,37,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,2,7,36,"897491920_0,897491920_1",nan,36,,,,
